accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
amd-ucode 20201005.r1732.58d41d0-1
aom 2.0.0-1
appstream-glib 0.7.18-1
arandr 0.1.10-4
archlinux-appstream-data 20200720-1.1
archlinux-keyring 20200820-1
argon2 20190702-3
asciidoc 9.0.2-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.1-1
atk 2.36.0-1
atkmm 2.28.0-2
atool 0.39.0-7
attr 2.4.48-3
audiofile 0.3.6-6
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
bash 5.0.018-1
bashrc-manjaro 5.0.018-1
bc 1.07.1-4
binutils 2.35-2
bison 3.6.4-1
bluez 5.55-1
bluez-libs 5.55-1
bmenu 0.14-1
boost-libs 1.72.0-2
brotli 1.0.9-2
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
ca-certificates 20181109-4
ca-certificates-mozilla 3.57-1
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
chromaprint 1.5.0-2
cifs-utils 6.11-1
ckbcomp 1.194-1
clipit 1:1.4.3-2
clipmenu 6.1.0-2
clipnotify 1.0.2-2
cmus 2.8.0-5
colord 1.4.4+9+g1ce26da-2
colorpicker 1.0.f5d441a-2
compton-tryone-git 0.1_beta2.95.g241bbc5-1
confuse 3.3-1
conky 1.11.5+2+g0d449029-2
conky-i3 20180507-1
coreutils 8.32-1
cpupower 5.7-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.4-1
curl 7.72.0-2
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dfc 3.1.1-3
dhclient 4.4.2-2
dhcpcd 9.2.0-1
diffutils 3.7-3
ding-libs 0.6.1-3
dmenu-manjaro 5.0-1
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
double-conversion 3.1.5-2
dunst 1.5.0-1.0
dunstify 1.5.0-1.0
e2fsprogs 1.45.6-3
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
elfutils 0.181-1
enchant 2.2.10-1
epdfview 0.1.8-11
exa 0.9.0-2
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expac 10-2
expat 2.2.9-3
f2fs-tools 1.14.0-1
faad2 2.9.2-1
fakeroot 1.24-2
ffmpeg 2:4.3.1-2
fftw 3.3.8-3
file 5.39-1
filesystem 2020.09-2
findutils 4.7.0-2
firefox 82.0-0.1
flac 1.3.3-2
flat-remix-gtk 20201018-1
flex 2.6.4-3
fluidsynth 2.1.5-2
fontconfig 2:2.13.91+48+gfcb0420-2
freeglut 3.2.1-2
freetype2 2.10.4-0
fribidi 1.0.10-1
fuse-common 3.9.3-1
fuse2 2.9.9-4
fuse3 3.9.3-1
fzf 0.22.0-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-2
gcc-libs 10.2.0-2
gcolor2 0.4-9
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
gettext 0.21-1
giblib 1.2.4-8
giflib 5.2.1-2
git 2.28.0-1
glew 2.2.0-2
glib-networking 2.66.0-1
glib2 2.66.0-1
glibc 2.32-4
glibmm 2.64.2-1
glslang 8.13.3743-1
glu 9.0.1-2
gmp 6.2.0-1
gnome-keyring 1:3.36.0-1
gnupg 2.2.23-1
